DEVICEID,DEVICENAME,DESCRIPTION,STARTTIME,ENDTIME,INCOUNT,OUTCOUNT
2.0,계동길 69,계동교회 앞,2022-12-02 12:50:42,2022-12-02 13:00:42,5328.0,6733.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 12:50:42,2022-12-02 13:00:42,3199.0,1134.0
2.0,계동길 69,계동교회 앞,2022-12-01 02:10:40,2022-12-01 02:20:40,271.0,465.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 02:10:40,2022-12-01 02:20:40,114.0,41.0
2.0,계동길 69,계동교회 앞,2022-12-03 12:40:41,2022-12-03 12:50:41,5962.0,7516.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 12:40:41,2022-12-03 12:50:41,1708.0,879.0
2.0,계동길 69,계동교회 앞,2022-12-01 02:20:40,2022-12-01 02:30:40,275.0,477.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 02:20:40,2022-12-01 02:30:40,136.0,56.0
2.0,계동길 69,계동교회 앞,2022-12-02 13:00:42,2022-12-02 13:10:42,5544.0,7034.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 13:00:42,2022-12-02 13:10:42,3313.0,1224.0
2.0,계동길 69,계동교회 앞,2022-12-01 02:30:40,2022-12-01 02:40:40,282.0,491.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 02:30:40,2022-12-01 02:40:40,136.0,58.0
2.0,계동길 69,계동교회 앞,2022-12-04 06:20:41,2022-12-04 06:30:41,119.0,330.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 06:20:41,2022-12-04 06:30:41,201.0,138.0
2.0,계동길 69,계동교회 앞,2022-12-01 02:40:40,2022-12-01 02:50:40,283.0,508.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 02:40:40,2022-12-01 02:50:40,136.0,58.0
2.0,계동길 69,계동교회 앞,2022-12-02 13:10:42,2022-12-02 13:20:42,5776.0,7369.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 13:10:42,2022-12-02 13:20:42,3394.0,1280.0
